,Gene Description,Gene Accession Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AFFX-BioDn-3_at (endogenous control),AFFX-BioDn-3_at,-0.788349937,-1.335163026,-1.423498758,-0.941616131,-1.373415231,-1.192833271,-1.088858808,-1.335413943,-1.424392336,-0.104142291,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-0.585923495,-1.510219388,-1.179975696,-1.207606614,-0.584719573,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,0.113920013,-1.385727619,-1.063445157,-0.30163795,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-0.017047941,-1.145432169,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.431552747,0.391398913,-1.280712643,-1.227021204,0.230166297,-1.443618533,-1.3272715,0.089293963,-0.762898399,-1.058009908,-1.224099054,0.080706085,-0.266702118,-0.443804986,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-1.018678067,-1.183311149,-1.069315014,-1.422468728,-1.041303633,-1.21065485,-1.29024248
2,AFFX-BioB-5_st (endogenous control),AFFX-BioB-5_st,-0.756912988,-1.335163026,-1.423498758,-1.3627031,-0.527129576,-0.588619557,-1.33742052,-1.335413943,-0.062956905,-0.63548085,-0.125131258,-1.01377406,-0.584718157,-1.244464069,-1.339686102,-1.357386275,-1.052040672,-1.179975696,-1.207606614,-0.292428127,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-0.05315468,-1.385727619,0.472542855,-0.848925222,-1.228487646,-0.903594816,-0.443153007,-1.314257825,-0.345421828,-1.365587283,-0.222470984,0.247296884,-1.225212914,-0.79540712,-1.145432169,0.20079079,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.029758869,-1.304079068,-1.280712643,-0.194874101,-0.09522317,-1.443618533,-1.3272715,-1.118330161,-0.85195705,-1.058009908,-0.370990315,-0.742504258,-0.554604015,-0.579301579,-1.31109581,-1.420360839,-1.087349267,-1.143157921,-1.018678067,-0.514893689,0.490641783,-1.422468728,0.066865246,-0.83400643,-0.16681335
3,AFFX-HUMISGF3A/M97935_MA_at (endogenous control),AFFX-HUMISGF3A/M97935_MA_at,-1.414095164,-1.335163026,-1.389461076,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,0.215442756,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.534413371,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,1.113545777,-1.314257825,-1.214385383,-0.726257047,0.870439713,-0.646739083,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-0.839467798,-1.270905826,-1.431552747,-1.304079068,-1.050630852,-1.227021204,-0.990861792,-1.443618533,-0.883862966,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-1.018678067,-1.183311149,-1.362381334,0.157955169,-1.041303633,-1.21065485,-1.29024248
4,AFFX-HUMISGF3A/M97935_MB_at (endogenous control),AFFX-HUMISGF3A/M97935_MB_at,-0.718028113,-1.205542051,-0.069438377,-0.959263187,-1.191340026,-0.673350434,-1.33742052,-0.486427036,-0.998825724,-0.786689899,-1.243743654,-1.01377406,-0.699051848,-0.794336551,0.448726775,-1.234738326,-0.695577819,-1.179975696,-0.988318918,-0.329242911,-1.045769178,-1.111595482,-1.187118125,-1.078524264,-0.623142506,-1.24631406,-1.216362346,-1.136906603,-1.063445157,-1.02458493,-1.228487646,-1.220874861,0.991422915,-0.772743423,-1.214385383,-0.685020554,0.474940271,-0.442319279,-0.952041098,-1.254586207,-1.145432169,-0.650507855,-1.196632989,-0.860304896,-1.06247623,-0.594321731,-0.580430726,-1.431552747,-1.304079068,-0.836256148,-0.891483304,-0.990861792,-0.349911537,-0.653929692,-1.156389118,-1.292206597,-1.058009908,-0.516307208,-1.098814617,-1.110465113,-1.216220492,-1.203199449,-0.900119679,-1.481627658,-1.143157921,-1.018678067,-0.419172157,-0.837656091,0.12109616,-0.68075582,-0.920232178,-1.29024248
5,AFFX-HUMISGF3A/M97935_3_at (endogenous control),AFFX-HUMISGF3A/M97935_3_at,0.473398344,-0.05522577,0.911507017,-0.05264664,0.068572476,0.108234217,-0.101304854,0.245674128,0.269725591,0.454821769,-0.370180374,-0.610357046,0.48862523,1.110543728,1.122897516,0.363958412,0.237352542,0.402839789,0.033789921,1.149798933,0.223817213,-0.712425771,0.512841695,0.308284131,0.636143064,0.221190766,0.283577352,0.287685739,-0.411428414,-0.081460599,-0.271084456,0.075927058,1.700527938,-0.11181826,0.048117464,0.275562763,0.928794319,0.471056759,-0.331270713,-0.001612811,-0.675428768,0.256571775,-0.070170604,-0.001898258,0.051491543,-0.016175862,1.347620498,0.190236099,0.318850433,0.072691158,-0.188898875,-0.186214539,0.363849109,0.509775562,-0.850903383,0.540659006,0.090786682,0.381957532,-0.664131239,0.156538626,-0.081610523,0.962081147,0.200250288,-0.116004331,-0.24851057,0.039406374,0.881904795,0.290048565,0.957790154,-0.040154158,0.409746385,-0.230765008
6,AFFX-HUMRGE/M10098_5_at (endogenous control),AFFX-HUMRGE/M10098_5_at,3.113805259,0.251215375,2.080529074,2.210508865,0.96380802,2.230368756,3.334309536,1.967547956,2.663121166,-1.185748659,0.602921223,3.243553091,-1.318316435,0.662312344,2.343226037,-1.357386275,-1.510219388,0.844662291,-1.207606614,-1.534413371,-1.045769178,3.652122757,3.655193904,-1.434645277,2.366264247,-1.24631406,2.846938616,0.734350667,0.314724938,-1.272406126,2.757987685,2.094529812,0.716064173,0.148326179,1.743388194,0.093755294,1.321758608,0.586584319,-1.225212914,-1.254586207,-1.108621509,-1.24638365,-0.141008701,-0.336270442,-1.06247623,-0.095269769,-1.270905826,0.887205326,2.708592914,-1.280712643,1.489152924,-0.990861792,0.863143696,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,1.702497978,-1.481627658,-1.107013021,0.626241215,-1.130130287,-1.362381334,-1.422468728,3.177570732,-1.21065485,-1.29024248
7,AFFX-HUMRGE/M10098_M_at (endogenous control),AFFX-HUMRGE/M10098_M_at,2.749407122,-1.213103475,1.603549089,1.520901152,1.654827949,1.850323847,2.991992317,1.12864643,2.175010745,-1.185748659,-1.066186493,2.588294998,-1.318316435,0.253744613,2.36176786,-1.357386275,-1.510219388,0.954150418,-1.207606614,-1.534413371,-1.045769178,3.484269467,3.655193904,-1.434645277,1.796724468,-1.24631406,2.20974107,0.053101752,-1.063445157,-1.272406126,2.002823469,1.188591412,-1.434727011,-1.314257825,1.537318711,-1.147777107,1.036394399,0.167089329,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.270905826,0.165904123,2.244099261,-1.280712643,-0.539932661,-0.990861792,0.269063436,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,1.226440074,-1.481627658,-1.143157921,0.461372116,-1.183311149,-1.362381334,-1.422468728,2.530064949,-1.21065485,-1.29024248
8,AFFX-HUMRGE/M10098_3_at (endogenous control),AFFX-HUMRGE/M10098_3_at,2.628862307,1.04030045,1.702696689,1.625528044,-0.319908903,1.729100489,3.334309536,0.970912469,2.721358931,-1.185748659,1.205323462,2.8207305,-1.318316435,1.340154304,1.549854552,-1.357386275,-1.510219388,-0.220244061,-1.207606614,-1.534413371,-1.045769178,3.217603261,2.700902797,-1.434645277,2.234913929,-1.24631406,1.803093566,1.316436286,-1.063445157,-1.272406126,1.73836589,0.910318822,-0.500676997,-1.19577191,0.901433219,-1.365587283,0.535976657,1.358957758,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-0.216790948,-1.06247623,0.016661635,-1.270905826,-0.316910799,1.846055397,-1.280712643,0.239112059,-0.990861792,0.653826433,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,0.624939158,-1.481627658,-0.9751346,-0.770466475,-1.183311149,-1.362381334,-1.422468728,2.983361061,-1.21065485,-1.29024248
9,AFFX-HUMGAPDH/M33197_5_at (endogenous control),AFFX-HUMGAPDH/M33197_5_at,3.14684884,3.097184077,2.980989023,3.244964011,3.193077291,3.47088739,3.038686431,2.626409764,2.837149717,3.435517253,3.287961453,3.876029933,2.826897429,3.278064462,3.090076932,3.026584076,2.732155724,3.669966608,3.373835094,2.358675685,-0.4717623,3.515386412,3.655193904,2.93753042,3.441763976,2.581032854,3.0413167,3.162779412,3.564805724,2.91858486,3.263067522,3.061615617,2.880231256,3.275107901,3.275805177,2.847732327,3.02312225,3.25188185,2.551715254,3.198037669,3.1926708,3.285017837,3.34652279,3.586183987,3.546249154,3.750095166,2.972734092,2.888772825,2.690263241,3.169989063,3.443060581,3.408663903,2.997333061,2.975569929,3.536175152,3.074338627,3.963163513,3.200181458,3.147242736,3.678437582,3.234260633,2.424686944,2.697841927,2.390761995,3.123166674,2.95736408,3.120719995,2.966510048,3.025302202,3.502012757,2.707366725,2.683185542
10,AFFX-HUMGAPDH/M33197_M_at (endogenous control),AFFX-HUMGAPDH/M33197_M_at,2.87057512,2.953192625,2.980989023,3.000395159,3.21633732,3.47088739,3.079035354,2.021026546,2.812979119,3.435517253,3.287961453,3.876029933,2.791572728,2.990390325,2.980357898,3.200053367,2.559038435,3.669966608,3.490051046,2.212747721,-1.045769178,3.323184594,3.655193904,2.849421378,3.440041136,2.816957974,2.770816215,2.938160619,3.643011981,2.821773138,3.243266921,2.841534647,2.743118303,3.145335409,2.882502683,2.847732327,2.970328414,3.19597922,2.371252824,3.148172249,3.61787986,3.218932307,3.579674331,3.586183987,3.475391532,3.750095166,3.178407258,2.615107799,2.693174331,3.053326339,3.443060581,3.391813912,2.896958183,3.261269757,3.668031165,2.979266088,4.009332452,3.379179322,3.355715996,3.734976324,3.276868547,2.729194375,2.679942743,2.00637708,3.47255931,3.300933287,3.301979439,2.94496979,2.900986552,3.596949153,2.641424093,2.744223267
